arm,ab_var,ucb_var,eps_var,ucb_inf_var,mix_prop_var
0.0,0.6932602055206676,0.0,,0.6544039762488235,0.002332755314635204
1.0,0.01164516430250035,0.28526524928514013,,0.0016871535466704219,0.1531491386063922
2.0,1.1538496543226524,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,0.26913351142758785,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,1.6158459759966421,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.06205352504174644,,2.0663028657119913,0.003473515420138998
6.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,0.0,0.0
8.0,0.0,0.0,2.115148261304075,0.0,0.0
9.0,0.0,0.0,,0.0,0.0
0.0,0.6932602055206676,0.0,,0.6544039762488235,0.002332755314635204
1.0,0.01164516430250035,0.28526524928514013,,0.0016871535466704219,0.1531491386063922
2.0,1.1538496543226524,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,0.26913351142758785,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,1.6158459759966421,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.06205352504174644,,2.0663028657119913,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.0,0.0,,0.0,0.0
8.0,0.0,1.1903082824519045,2.8552661842013825,0.0,0.0
9.0,0.0,0.0,,0.0,0.0
0.0,0.6932602055206676,0.0,,0.6544039762488235,0.002332755314635204
1.0,0.01164516430250035,0.28526524928514013,,0.0016871535466704219,0.1531491386063922
2.0,1.1538496543226524,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,0.26913351142758785,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,1.6158459759966421,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.06205352504174644,,2.0663028657119913,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,0.0,4.355837070950945,2.5965751270592445,0.0,0.0
9.0,0.0,0.0,,0.0,0.0
0.0,0.6932602055206676,0.0,,0.6544039762488235,0.002332755314635204
1.0,0.01164516430250035,0.28526524928514013,,0.0016871535466704219,0.1531491386063922
2.0,1.1538496543226524,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,0.26913351142758785,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,1.6158459759966421,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.12336436594772081,,2.0663028657119913,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.3613280065539377,0.3741325256032445,2.913616746725996
9.0,0.0,0.0,,0.0,0.0
0.0,0.6932602055206676,0.0,,0.6544039762488235,0.002332755314635204
1.0,0.01164516430250035,0.2139554195678674,,0.0016871535466704219,0.1531491386063922
2.0,1.1538496543226524,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,0.26913351142758785,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,1.6158459759966421,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.12336436594772081,,2.0663028657119913,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.60463551017767,0.3741325256032445,2.913616746725996
