b_arm,ab_barm,mix_barm,eps_barm,ucb_barm,ab_var_barm,mix_var_barm,eps_var_barm,ucb_var_barm
5.0,0.0,5.0,7.0,7.0,4.81075134621001,3.487313790861422,3.704749065553612,3.704749065553612
5.0,0.0,5.0,0.0,0.0,4.052301522057692,1.334199550300652,4.052301522057692,4.052301522057692
8.0,0.0,8.0,6.0,0.0,4.262780226503794,3.2427811912297173,1.019253709452557,4.262780226503794
1.0,0.0,1.0,6.0,6.0,3.661621745711214,1.3594573245488832,2.9140499223372256,2.9140499223372256
3.0,3.0,3.0,5.0,5.0,0.7919496539791232,0.7919496539791232,4.1992712579711124,4.1992712579711124
1.0,0.0,1.0,0.0,9.0,4.521060609439242,3.563362259006571,4.521060609439242,4.805052866403752
7.0,0.0,7.0,2.0,2.0,3.0140288939445696,2.709482827476928,1.6735117906578862,1.6735117906578862
5.0,0.0,5.0,2.0,2.0,0.6934744192668602,0.2410222124203576,1.9766578649142512,1.9766578649142512
7.0,9.0,7.0,5.0,5.0,2.3607028580211074,2.3599900910288185,3.7070365024922776,3.7070365024922776
6.0,6.0,6.0,9.0,9.0,2.251078867073205,2.251078867073205,2.077676657559215,2.077676657559215
4.0,4.0,4.0,4.0,4.0,3.0509101930424536,3.0509101930424536,3.0509101930424536,3.0509101930424536
7.0,7.0,7.0,5.0,2.0,4.776674448893903,4.776674448893903,0.29992498045891436,2.187781901355343
4.0,0.0,4.0,6.0,7.0,3.393994745720281,0.3596921341295062,2.1776881244319024,2.1399833240834636
1.0,0.0,1.0,7.0,7.0,4.563950643509957,1.148613081655444,4.796110563774995,4.796110563774995
7.0,7.0,7.0,9.0,9.0,1.1939444558200614,1.1939444558200614,3.7797348834505757,3.7797348834505757
8.0,9.0,8.0,4.0,4.0,2.4872569469005152,2.747115982342634,3.135028858523165,3.135028858523165
1.0,0.0,1.0,5.0,3.0,2.002627629395014,1.8396424061718113,2.985910501437659,2.928281233179269
9.0,9.0,9.0,4.0,4.0,4.5802822436813475,4.5802822436813475,1.9153818205876787,1.9153818205876787
5.0,0.0,5.0,4.0,4.0,4.449119278864979,1.4335420370980734,1.5104980816687092,1.5104980816687092
2.0,4.0,2.0,9.0,9.0,1.4816050314530376,3.677107397515233,4.987209395902599,4.987209395902599
5.0,0.0,5.0,4.0,4.0,0.19936598649287762,0.3773703092031977,1.5998004462539734,1.5998004462539734
4.0,0.0,4.0,8.0,5.0,0.28081226505811796,0.011674216726654807,0.07204363425944771,4.740105872163661
2.0,0.0,2.0,7.0,6.0,0.7590614040040422,1.287240508590855,1.2507582736775502,2.7688526659172235
6.0,0.0,6.0,4.0,4.0,0.2387356216923836,4.811771583171919,3.9213915691050354,3.9213915691050354
1.0,1.0,1.0,9.0,8.0,0.8572345720485619,0.8572345720485619,2.9029263913930343,3.044528808760569
9.0,0.0,9.0,9.0,3.0,2.402623368196294,3.115162287262401,3.115162287262401,0.06393015403013513
9.0,0.0,9.0,2.0,0.0,1.1835221175172843,2.9474900919582177,4.864091601565958,1.1835221175172843
4.0,0.0,4.0,7.0,7.0,2.5103766564850583,3.6952293143182615,4.713374773301591,4.713374773301591
8.0,0.0,8.0,6.0,6.0,0.5900786463078972,1.7876545159845865,2.1756941106418988,2.1756941106418988
4.0,0.0,4.0,7.0,7.0,2.6716662517438072,2.9875759595108073,2.024182004263802,2.024182004263802
6.0,6.0,6.0,0.0,0.0,0.3075400814525503,0.3075400814525503,2.824308723651524,2.824308723651524
6.0,6.0,6.0,3.0,7.0,1.4070285653548087,1.4070285653548087,2.768781623053758,0.8786367431940245
4.0,5.0,4.0,8.0,8.0,4.199613392481825,3.7451722408140204,1.2076980335305576,1.2076980335305576
4.0,3.0,4.0,6.0,6.0,3.43736781414477,3.7427058736512646,1.6204882008510302,1.6204882008510302
4.0,4.0,4.0,3.0,3.0,3.6507113240874944,3.6507113240874944,3.305660102740522,3.305660102740522
7.0,0.0,7.0,5.0,5.0,1.5999848929649856,0.4058762364928664,0.7138786928998608,0.7138786928998608
4.0,5.0,4.0,7.0,7.0,3.251763764199793,0.7031700901174737,3.3050003669757073,3.3050003669757073
6.0,6.0,6.0,9.0,0.0,1.5740219747926592,1.5740219747926592,3.314231800829201,4.342922787776914
1.0,1.0,1.0,3.0,3.0,0.9666019062531839,0.9666019062531839,1.7653037742323257,1.7653037742323257
3.0,3.0,3.0,0.0,0.0,2.0325641923417885,2.0325641923417885,2.4983621383617773,2.4983621383617773
5.0,5.0,6.0,0.0,0.0,3.4759960571998887,0.7919962286278204,3.274411063238553,3.274411063238553
8.0,0.0,8.0,6.0,8.0,4.305532537550575,2.9838814147635913,1.2279353434599938,2.9838814147635913
8.0,1.0,8.0,4.0,1.0,2.048598905564055,2.3452035116565484,4.051609571841785,2.048598905564055
5.0,0.0,5.0,3.0,3.0,0.4446982675850142,1.3013207969042688,0.5797194442785725,0.5797194442785725
3.0,3.0,3.0,7.0,7.0,0.42203479216699646,0.42203479216699646,1.0905616793660662,1.0905616793660662
3.0,3.0,3.0,2.0,2.0,0.9565610092318921,0.9565610092318921,2.9381646732232936,2.9381646732232936
1.0,0.0,9.0,0.0,0.0,4.583319090137087,4.21407043256376,4.583319090137087,4.583319090137087
9.0,0.0,9.0,6.0,6.0,2.664612208755428,3.250404535905391,0.30097415148663376,0.30097415148663376
1.0,1.0,1.0,6.0,8.0,3.1293164652221757,3.1293164652221757,3.92223161985839,2.5086620120016248
6.0,6.0,6.0,6.0,2.0,4.356700230087298,4.356700230087298,4.356700230087298,1.864257994072764
7.0,7.0,7.0,5.0,5.0,0.6327022182463782,0.6327022182463782,1.4513229402218841,1.4513229402218841
4.0,4.0,4.0,4.0,4.0,4.126388040458075,4.126388040458075,4.126388040458075,4.126388040458075
3.0,0.0,7.0,7.0,7.0,0.854203152904992,3.596420936971624,3.596420936971624,3.596420936971624
2.0,0.0,2.0,0.0,4.0,4.924826573875871,3.0296787069830815,4.924826573875871,1.5741550656529042
6.0,8.0,6.0,7.0,7.0,3.6782814092575316,4.493579274134954,1.803115588547624,1.803115588547624
7.0,0.0,7.0,8.0,8.0,3.289981084005597,0.9060399695882687,0.7927449139384851,0.7927449139384851
4.0,4.0,4.0,4.0,6.0,1.400136300047952,1.400136300047952,1.400136300047952,0.6296219900852967
3.0,3.0,3.0,7.0,7.0,0.12512466880856443,0.12512466880856443,4.730842091800266,4.730842091800266
1.0,1.0,1.0,1.0,1.0,0.772194295902564,0.772194295902564,0.772194295902564,0.772194295902564
7.0,0.0,7.0,2.0,2.0,1.5013232432855954,0.744961091148329,2.9765666200104377,2.9765666200104377
6.0,6.0,6.0,1.0,1.0,4.8783902791506595,4.8783902791506595,0.2411556176085422,0.2411556176085422
