ab_regret,ucb_regret,eps_regret,trt_prop_mix_regret,mix_prop_regret,ab_mean_rmse,ab_var_rmse,ucb_mean_rmse,ucb_var_rmse,eps_mean_rmse,eps_var_rmse,trt_prop_mix_mean_rmse,trt_prop_mix_var_rmse,mix_prop_mean_rmse,mix_prop_var_rmse
0.0,0.0,0.0,0.0,0.0,1.7161343314672513,2.5915210447962327,3.2882178624012894,2.5915210447962327,0.16550783039867006,22.044861594501246,0.10215025172431949,2.5915210447962327,0.9045076911271716,2.5915210447962327
6.2424754601285475,2.554301870672008,0.4810337430641257,3.8461931589376697,4.527060833973231,0.9720315058873717,1.3224379630812397,1.6479280779844672,1.3224379630812397,0.16038443378366601,11.035566940479313,0.09290527476783435,1.3224379630812397,0.9755933732296449,1.3224379630812397
10.994683784701007,5.669120744818914,0.14502037522527655,8.635112607552909,9.739352928436382,0.6487618269580936,1.6673598922978716,1.4491211383879168,1.6673598922978716,0.08443698279702222,11.023640246419843,0.3030614597378503,1.6673598922978716,0.6508878122843553,1.6673598922978716
16.26823535674244,12.293389183884052,1.377515776412475,9.43205803937078,15.837558436109564,0.6059724461501275,6.761735317848715,2.785460654168137,6.761735317848715,0.23190687794995193,11.229334978249527,2.5056708796553835,6.761735317848715,0.72343382304522,6.761735317848715
17.98757480612359,22.04302820455005,5.303610752604681,9.598952405320226,16.97909037217141,0.5354127530367022,9.348780252330664,4.136467476961192,9.348780252330664,0.4396262274868678,8.35006366709843,2.0205116800722553,9.348780252330664,0.6557010083233671,9.348780252330664
19.663717813735758,27.247911239721013,4.260832072588923,17.320195042448013,18.73541678945116,0.4929839249744253,9.025137876342418,3.65844516540888,9.025137876342418,0.30157104214030367,8.27866584216568,3.167479208203085,9.025137876342418,0.7115591283942772,9.025137876342418
24.92449941667627,34.158206295515825,6.984957284254922,23.37076913048049,24.343608268404388,0.44091742665891154,7.739585649215984,3.1384297248040802,7.739585649215984,1.6202410299919103,9.142261762656299,2.7346132119898092,7.739585649215984,0.6135764041336863,7.739585649215984
27.392208756605378,37.00013068662807,7.144352388841771,27.833991372678973,31.42575335169794,0.3880448558936527,8.598585767143492,3.0791793460197194,8.598585767143492,1.631078973385224,9.158265681934052,2.5396673348541365,8.598585767143492,2.4722624848420214,8.598585767143492
33.95848649086069,45.53870997507314,7.1076234884984535,28.677334553266796,34.0541195488793,1.2935196554946016,10.18503458984302,5.5605687334446925,10.18503458984302,1.639914825968066,7.575743449303669,2.7177673839847336,10.18503458984302,2.1976041589669295,10.18503458984302
38.200096728307656,52.86717627839583,15.761463399289443,36.506553728544944,38.21572825951097,1.3106626009747626,10.339836083271534,5.010398602776494,10.339836083271534,2.299025717861422,3.9783451472122455,3.031850389405744,10.339836083271534,2.0809113548340457,10.339836083271534
43.598111931623336,49.07511587816861,6.758942592839853,40.27909062630184,43.04662811692717,1.1618393479241826,10.164692199344625,4.603356289571863,10.173166661312964,1.6293732430524295,5.785649279092581,3.1490005659523015,10.171965992981217,2.054322513199015,10.332458568515126
44.63472217333221,50.201962046094295,7.979790875557908,41.74118920432581,38.379093423086346,1.152699948726997,10.164167784585134,4.460609312695442,10.122189442396696,1.5899015630888202,4.596398785847902,3.146793168782967,10.171888335605061,1.9806037873095448,10.32714031469781
52.356063095568686,42.66600755243524,10.337608285466985,48.450613737597905,43.26588799647888,1.2782128857276347,9.94299927876013,3.4092331764985877,8.129192568820011,1.698213330765941,4.454202752551867,3.1823335354687656,10.161145919770954,1.9805598038458254,10.325611073594072
59.48796097085828,41.21985435346865,10.192470731109779,54.37276499731717,45.82780143787372,1.376830999148716,9.697515668456315,3.3360682632849263,8.115813293275583,1.69055492134647,4.487083203865403,2.421875021734574,8.178485571791489,1.9183390495588426,8.668534596749137
62.035072265014804,40.014185145590275,10.874323449164361,56.13296727258165,45.631469266127425,1.3771837867535792,9.697504835015716,2.940572104938924,6.666044053043583,1.6469903089133866,4.460584918870433,2.420548668963406,8.177951518853133,1.991344721722316,8.503743547557884
65.16914933640909,43.00948605050203,8.89194467409026,45.51440446277227,45.295002767053475,1.3535674732654346,9.643292586524254,3.1110706620201647,6.883019174494592,1.6979939605982084,4.269504577469296,1.7693938352097107,7.480196005171282,2.219303128763787,8.187644071685252
70.8349986542413,35.128550850568374,7.834124511776041,50.331780596267535,49.875628073972,1.342984755482356,9.642078653818091,2.425296827772573,7.391243738015467,1.6550247218042342,4.259729330928499,1.7587416533664886,7.479108624081841,2.2181788780778176,8.185713392830106
74.55319174735428,36.23485196416316,8.15450950622769,50.89262364847029,53.35961350243876,1.3418458894945289,9.607002073091579,2.4246986374207506,7.391143468459165,1.5950307237470986,4.181168449043471,1.6610860661144762,6.237904130657354,1.2311593158598966,6.9125419588257255
59.0598109500931,39.268168266273904,7.555941025639086,40.82765479493303,55.54976028466028,0.8288610506528504,8.633629701721723,2.2424834750053666,7.026870426091942,1.584365676869797,3.598026713791633,1.449511821406149,5.894010099482869,1.2311272462256875,6.912347250863382
63.084532476650566,34.63445814655199,10.693425693273738,44.40055755644464,61.91830908016762,0.7553740109913155,8.548457679437997,2.085516701434756,6.840550963093607,1.5493169308676773,4.710661589812725,0.9658697961125002,4.927740338446659,1.1384038712515117,6.007410460182392
67.53945439735688,35.05739005069243,11.544191821763352,46.72813976980549,58.255591293916254,0.7363883274383509,8.562106468531173,2.086068910594341,6.839238925389968,1.5729398479699706,4.7175291508595185,0.9973870263603111,5.345051787221849,1.1199039839555538,6.007394087765157
