,chosen_arm,optimal,reward,cost
294,0,0,-1,1
295,0,1,0,0
296,0,0,-1,1
297,0,0,-1,1
298,0,0,-1,1
299,1,0,-1,1
300,0,1,0,0
301,0,0,-1,1
302,0,0,-1,1
303,0,0,-1,1
304,1,1,-1,1
305,2,0,-1,1
306,0,0,-1,1
307,0,0,-1,1
308,0,1,0,0
309,0,1,0,0
310,0,0,-1,1
311,0,0,-1,1
312,0,0,-1,1
313,0,1,0,0
314,0,0,-1,1
315,0,0,-1,1
316,0,0,-1,1
317,0,1,0,0
318,0,0,388,52
319,0,0,-1,1
320,0,0,-1,1
321,0,0,-1,1
322,0,0,-1,1
323,0,0,-1,1
324,0,0,-1,1
325,0,0,-1,1
326,0,0,-1,1
327,0,0,-1,1
328,0,0,-1,1
329,0,0,-1,1
330,0,0,-1,1
331,0,0,-1,1
332,0,0,-1,1
333,0,0,-1,1
334,0,0,-1,1
335,0,1,0,0
336,0,0,-1,1
337,0,0,-1,1
338,0,0,-1,1
339,2,0,-1,1
340,0,0,-1,1
341,0,0,-1,1
342,0,0,-1,1
343,0,0,-1,1
344,0,1,0,0
345,1,1,-1,1
346,0,0,-1,1
347,0,0,-1,1
348,0,0,-1,1
349,0,0,-1,1
350,0,0,-1,1
351,0,0,-1,1
352,0,0,-1,1
353,0,1,0,0
354,0,0,-1,1
355,0,0,-1,1
356,0,1,0,0
357,0,0,-1,1
358,0,0,-1,1
359,0,0,-1,1
360,0,1,0,0
361,0,0,-1,1
362,2,1,-1,1
363,0,0,-1,1
364,0,0,-1,1
365,0,0,-1,1
366,0,0,-1,1
367,0,0,-1,1
368,2,1,-1,1
369,0,0,-1,1
370,0,1,0,0
371,0,0,-1,1
372,0,0,-1,1
373,0,0,-1,1
374,0,1,0,0
375,0,1,0,0
376,0,0,-1,1
377,0,0,-1,1
378,0,0,-1,1
379,0,0,-1,1
380,0,0,-1,1
381,0,0,-1,1
382,0,0,-1,1
383,0,0,-1,1
384,0,0,-1,1
385,0,0,-1,1
386,0,0,-1,1
387,0,1,0,0
388,0,0,-1,1
389,0,0,-1,1
390,0,0,-1,1
391,0,0,-1,1
392,0,0,-1,1
393,0,0,-1,1
394,0,0,-1,1
395,0,0,-1,1
396,0,0,-1,1
397,2,1,-1,1
398,0,0,-1,1
399,0,0,-1,1
400,0,1,0,0
401,0,0,188,32
402,0,0,-1,1
403,0,0,-1,1
404,0,1,0,0
405,0,0,-1,1
406,0,0,-1,1
407,2,1,-1,1
408,2,0,-1,1
409,0,0,-1,1
410,0,0,-1,1
411,0,1,0,0
412,0,0,-1,1
413,0,0,-1,1
414,0,0,-1,1
415,0,0,-1,1
416,0,0,-1,1
417,0,0,-1,1
418,0,0,388,52
419,0,0,-1,1
420,0,0,-1,1
421,0,1,0,0
422,0,0,-1,1
423,0,0,-1,1
424,0,0,-1,1
425,0,1,0,0
426,0,1,0,0
427,0,0,-1,1
428,2,0,-1,1
429,0,0,-1,1
430,0,0,-1,1
431,0,0,-1,1
432,2,0,0,0
433,0,0,-1,1
434,0,0,-1,1
435,0,0,-1,1
436,0,0,-1,1
437,0,0,-1,1
438,0,0,-1,1
439,0,1,0,0
440,0,0,-1,1
441,0,0,-1,1
442,0,0,-1,1
443,0,0,-1,1
444,0,1,0,0
445,0,0,-1,1
446,0,0,-1,1
447,0,0,-1,1
448,0,0,-1,1
449,0,0,-1,1
450,0,0,-1,1
451,0,0,-1,1
452,0,0,-1,1
453,0,0,-1,1
454,0,0,-1,1
455,0,0,-1,1
456,2,1,-1,1
457,0,0,-1,1
458,0,0,-1,1
459,0,0,-1,1
460,0,0,-1,1
461,0,0,-1,1
462,0,0,-1,1
463,0,0,-1,1
464,0,0,-1,1
465,0,0,-1,1
466,0,1,0,0
467,0,0,-1,1
468,0,0,-1,1
469,0,0,-1,1
470,0,0,-1,1
471,0,0,-1,1
472,0,0,-1,1
473,0,0,-1,1
474,0,0,-1,1
475,0,1,0,0
476,0,0,-1,1
477,1,0,-1,1
478,1,0,-1,1
479,0,0,-1,1
480,0,0,-1,1
481,0,1,0,0
482,0,0,-1,1
483,0,0,-1,1
484,0,1,0,0
485,0,0,-1,1
486,0,0,-1,1
487,0,1,0,0
488,0,0,-1,1
489,0,0,-1,1
490,0,0,-1,1
491,0,0,-1,1
492,0,0,-1,1
493,0,0,-1,1
494,0,0,-1,1
495,0,0,-1,1
496,0,0,288,42
497,0,0,-1,1
498,0,0,-1,1
499,1,0,-1,1
500,0,0,-1,1
501,0,0,-1,1
502,0,0,-1,1
503,0,0,-1,1
504,0,0,-1,1
505,0,1,0,0
506,0,0,-1,1
507,0,0,-1,1
508,0,0,-1,1
509,0,0,-1,1
510,0,0,-1,1
511,0,0,-1,1
512,0,0,-1,1
513,0,0,-1,1
514,0,1,0,0
515,0,0,-1,1
516,0,0,-1,1
517,0,0,-1,1
518,0,1,0,0
519,0,0,-1,1
520,0,1,0,0
521,0,0,-1,1
522,0,0,-1,1
523,0,0,-1,1
524,0,1,0,0
525,0,1,0,0
526,0,1,0,0
527,0,0,-1,1
528,0,1,0,0
529,0,0,-1,1
530,0,0,-1,1
531,1,0,-1,1
532,1,0,0,0
533,0,1,0,0
534,0,0,-1,1
535,0,0,-1,1
536,0,1,0,0
537,0,0,-1,1
538,0,1,0,0
539,0,0,-1,1
540,0,1,0,0
541,0,0,-1,1
542,0,0,-1,1
543,0,0,-1,1
544,0,0,-1,1
545,0,0,-1,1
546,0,0,-1,1
547,0,0,-1,1
548,0,0,-1,1
549,1,1,-1,1
550,0,0,-1,1
551,0,0,-1,1
552,0,0,-1,1
553,0,1,0,0
554,0,0,-1,1
555,0,0,-1,1
556,0,1,0,0
557,0,0,-1,1
558,0,1,0,0
559,0,1,0,0
560,0,0,-1,1
561,0,0,-1,1
562,0,0,-1,1
563,0,0,-1,1
564,0,0,-1,1
565,0,0,-1,1
566,0,0,-1,1
567,0,0,-1,1
568,0,0,-1,1
569,0,0,-1,1
570,0,0,-1,1
571,0,1,0,0
572,0,0,-1,1
573,0,0,-1,1
574,0,0,-1,1
575,1,0,-1,1
576,0,0,-1,1
577,0,0,-1,1
578,0,1,0,0
579,0,1,0,0
580,0,0,-1,1
581,0,0,-1,1
582,0,0,-1,1
583,0,0,-1,1
584,0,0,-1,1
585,0,0,-1,1
586,0,0,-1,1
587,0,1,0,0
588,0,0,-1,1
589,0,1,0,0
590,0,0,-1,1
591,0,0,-1,1
592,0,0,-1,1
593,0,0,-1,1
594,0,1,0,0
595,0,0,-1,1
596,0,0,-1,1
597,0,0,-1,1
598,0,0,-1,1
599,0,0,-1,1
600,0,0,-1,1
601,0,0,-1,1
602,0,0,-1,1
603,0,0,-1,1
604,0,0,-1,1
605,0,0,-1,1
606,0,0,-1,1
607,0,0,-1,1
608,0,0,-1,1
609,0,0,-1,1
610,0,0,-1,1
611,0,0,-1,1
612,0,0,-1,1
613,0,1,0,0
614,0,0,-1,1
615,0,1,0,0
616,0,0,-1,1
617,0,0,-1,1
618,0,0,-1,1
619,0,0,-1,1
620,0,1,0,0
621,0,0,-1,1
622,0,0,-1,1
623,0,0,-1,1
624,0,0,-1,1
625,0,0,-1,1
626,0,0,-1,1
627,2,1,-1,1
628,0,0,-1,1
629,0,0,-1,1
630,0,0,-1,1
631,0,0,-1,1
632,0,0,-1,1
633,0,0,-1,1
634,0,0,-1,1
635,0,0,-1,1
636,0,0,-1,1
637,0,0,-1,1
638,0,0,-1,1
639,0,1,0,0
640,0,0,-1,1
641,0,0,-1,1
642,0,1,0,0
643,0,0,-1,1
644,0,0,-1,1
645,0,0,-1,1
646,0,1,0,0
647,0,0,-1,1
648,0,0,-1,1
649,0,1,0,0
650,0,1,0,0
651,0,0,-1,1
652,1,0,-1,1
653,0,0,-1,1
654,0,0,-1,1
655,0,0,-1,1
656,0,0,-1,1
657,0,0,-1,1
658,0,0,-1,1
659,0,0,-1,1
660,0,1,0,0
661,0,0,-1,1
662,0,0,-1,1
663,0,0,-1,1
664,0,0,-1,1
665,2,0,-1,1
666,0,0,-1,1
667,0,1,0,0
668,0,0,-1,1
669,1,0,-1,1
670,0,0,-1,1
671,0,1,0,0
672,0,1,0,0
673,0,0,-1,1
674,0,0,-1,1
675,0,0,-1,1
676,0,0,-1,1
677,0,0,-1,1
678,0,0,-1,1
679,0,0,-1,1
680,0,1,0,0
681,0,0,-1,1
682,0,0,-1,1
683,0,0,-1,1
684,0,0,-1,1
685,0,0,-1,1
686,0,0,-1,1
687,0,0,-1,1
688,0,0,-1,1
689,0,0,-1,1
690,1,0,-1,1
691,1,0,0,0
692,0,1,0,0
693,0,0,-1,1
694,0,0,-1,1
695,0,0,-1,1
696,0,0,-1,1
697,0,0,-1,1
698,0,0,-1,1
699,2,1,-1,1
700,0,0,-1,1
701,0,0,-1,1
702,0,0,-1,1
703,0,0,-1,1
704,0,1,0,0
705,0,0,-1,1
706,0,0,-1,1
707,0,1,0,0
708,0,0,-1,1
709,0,0,-1,1
710,0,0,-1,1
711,0,0,-1,1
712,2,0,0,0
713,0,0,-1,1
714,0,1,0,0
715,0,0,-1,1
716,0,1,0,0
717,0,0,-1,1
718,0,1,0,0
