"weight_cat","male","married","edu_cat","bdonationvol","recency_in_month","formvoluntary","formgroup","formmutual","formplasma","formblood","age_cat_2","age_cat_0","resident_cat_0","resident_cat_1","resident_cat_3","occupation_cat_11","occupation_cat_7","occupation_cat_9","occupation_cat_3","occupation_cat_5","occupation_cat_4","occupation_cat_2","occupation_cat_1","occupation_cat_10","occupation_cat_6","firm_cost","firm_gain","test_group"
1,1,0,0,3600,9,9,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,0,0,400,25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,0,0,400,8,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,0,0,0,400,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,1,0,0,300,17,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
1,0,0,0,800,19,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1"
1,0,0,0,200,21,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,1,1600,9,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,1,300,24,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,0,0,700,21,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,1,0,1,500,26,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,1,1,0,400,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
0,1,0,0,400,18,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,0,0,1,400,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
1,1,1,0,400,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,0,0,400,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"2"
1,1,0,0,300,11,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,0,0,400,23,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0"
1,1,1,1,400,16,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"1"
0,0,0,0,300,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,0,1,200,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0"
1,1,1,1,400,11,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,0,0,0,300,16,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,0,1,0,300,6,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"1"
0,0,0,1,200,9,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,1,0,0,200,20,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,1,400,6,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,0,1,0,400,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"2"
1,0,1,0,400,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,0,1,0,800,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,0,1,0,1200,16,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,0,0,1,800,7,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
0,1,1,0,300,11,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,0,1,1800,24,0,5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
1,1,1,1,400,8,0,2,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,1,400,20,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"2"
0,1,0,1,200,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
0,1,0,1,400,9,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,1,0,400,16,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,1,1,1,300,15,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,1,300,24,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
0,1,0,0,400,26,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,0,0,0,300,13,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1"
0,1,1,1,400,9,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
1,0,1,0,400,16,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
0,1,0,1,1200,15,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,0,0,200,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"2"
0,1,0,1,200,23,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,0,0,1,300,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
1,0,1,0,400,13,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,1,1,400,8,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,1,0,0,400,14,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"2"
1,1,1,0,400,10,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
0,0,1,1,400,11,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"1"
0,0,0,1,300,8,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,0,1,0,1100,11,3,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,0,1,1,400,15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,1,400,12,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"1"
0,1,1,0,1000,9,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,0,0,0,300,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0"
1,1,0,1,200,12,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,1,1,0,300,13,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,0,0,400,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,0,1,400,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"1"
0,0,1,0,300,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"1"
0,1,1,0,900,14,0,3,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,1,1,0,400,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,1,1,400,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"1"
0,0,0,1,200,15,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,1,1,0,400,20,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"1"
1,1,0,1,400,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"2"
0,0,1,1,300,23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,1,1,400,16,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,1,0,800,21,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"2"
1,1,1,0,400,20,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,1,0,1000,6,3,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,1,0,1,400,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,1,1,1,300,18,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,0,0,1,400,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,1,0,0,300,8,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
0,1,0,0,200,20,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,1,1200,7,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,1,1,1,400,23,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"1"
0,0,0,0,300,21,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,1,0,1,200,20,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
1,1,1,0,400,21,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0"
1,1,1,1,200,14,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
1,0,1,1,300,21,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
1,0,0,1,600,25,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
1,1,1,0,400,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,1,0,1,200,13,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
1,1,1,0,400,9,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,0,0,1,700,9,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,0,1,400,6,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,0,0,1,500,6,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,0,0,1,200,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1"
0,0,0,1,700,26,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,0,0,0,300,18,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,0,1,1,2300,8,6,0,0,0,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"1"
1,1,0,0,300,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"1"
0,1,1,0,800,12,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"1"
1,1,1,0,1200,9,1,2,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,0,0,1,400,10,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,1,1,0,400,10,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,0,1,400,12,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"2"
0,1,0,1,300,9,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"2"
0,1,0,1,300,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,1,0,0,300,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,0,0,1,300,17,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1"
1,0,0,0,300,26,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,0,1,0,400,6,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,0,0,1,200,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,1,0,0,400,15,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"2"
1,0,0,1,400,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,0,0,1,200,13,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
1,1,1,0,800,12,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"1"
1,1,1,1,300,8,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
0,0,0,1,600,20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,0,0,0,300,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,1,0,300,20,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"1"
1,0,1,0,400,19,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,1,0,1,400,13,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
0,1,0,0,800,13,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1"
0,0,1,1,400,7,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0"
1,1,1,0,400,9,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"2"
0,1,0,1,300,21,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,1,0,0,400,14,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
0,1,1,1,300,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1"
0,1,0,1,300,9,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,1,1,0,400,15,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
0,1,0,0,400,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0"
0,1,0,1,900,23,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,0,0,1,200,15,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
1,1,0,1,400,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"1"
