ab_regret,ucb_regret,eps_regret,mix_regret,ab_mean_rmse,ab_var_rmse,ucb_mean_rmse,ucb_var_rmse,eps_mean_rmse,eps_var_rmse,mix_mean_rmse,mix_var_rmse
0.0,0.0,0.0,0.0,1.0348002238969596,20.304993391211706,17.58642485192067,20.304993391211706,16.31082971241325,24.275543832121944,0.9329410184962535,20.304993391211706
2.7338112432080073,3.719296644280357,4.0,2.856802715953636,2.9285755512438816,10.834139944654394,14.703906611985433,10.834139944654394,8.422141207689494,12.189842716508378,2.5099666843627495,10.834139944654394
3.313873400985839,5.652400593055457,8.0,3.7239093210863183,1.9620722525838186,8.467782902379179,9.862645328110574,8.467782902379179,8.350343231750138,13.281864042140848,1.7528105343715479,8.467782902379179
8.068060993578987,6.210975502291726,12.0,7.312536646417264,1.4715554780782594,6.376872577008087,7.397413556307119,6.376872577008087,8.170344299927812,12.994175964928292,1.315937019825717,6.376872577008087
10.034499384138975,10.925947837657905,16.0,17.947630413407193,1.2003101989671712,8.90187918604263,10.806333286764334,8.90187918604263,8.15681918044244,12.69304912502512,1.6701022667584073,8.90187918604263
12.757768254257915,12.505285722995474,20.0,20.85562080952287,1.019361914183952,11.296008347773645,9.145139291620529,11.296008347773645,8.43426923004049,17.706268413798565,1.8042669718288593,11.296008347773645
17.228813566493027,13.250237552025354,32.0,23.885503737036878,3.455895350402282,12.632397478691477,7.863258927865133,12.632397478691477,6.468244184665277,16.815197509836295,1.6193015889281577,12.632397478691477
23.67971646944593,37.03707851451978,38.0,26.464374673306764,6.523989300917688,14.087790772870285,9.604300686660057,14.087790772870285,6.799619492316281,18.361449566197628,1.4741780272352265,14.087790772870285
27.837488458483115,39.92193090622933,45.0,32.1405856901975,5.80437525120424,12.621144144378516,10.851476763912704,12.621144144378516,5.099732389182466,14.704854379105408,1.324798178224392,12.621144144378516
28.508897278680344,44.823245445165284,45.0,33.25026348833561,5.299879372594954,12.862335300131841,10.019948496912919,12.862335300131841,5.099732389182466,14.704854379105408,1.2542247313800208,12.862335300131841
