"weight_cat","male","married","edu_cat","bdonationvol","recency_in_month","formvoluntary","formgroup","formmutual","formplasma","formblood","age_cat_2","age_cat_0","resident_cat_0","resident_cat_1","resident_cat_3","occupation_cat_11","occupation_cat_7","occupation_cat_9","occupation_cat_3","occupation_cat_5","occupation_cat_4","occupation_cat_2","occupation_cat_1","occupation_cat_10","occupation_cat_6","firm_cost","firm_gain","test_group"
1,1,0,1,300,13,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,1,1,0,400,21,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
0,1,0,1,200,13,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,1,1,0,400,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"0"
0,0,0,1,200,24,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,1,1,0,800,18,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,0,1,400,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,0,1,1,400,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
0,1,0,0,300,25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"0"
1,1,1,1,800,13,2,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
0,1,0,1,400,9,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
0,0,1,1,400,22,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
1,0,0,0,300,26,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,1,1,0,400,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
0,1,0,1,600,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,0,0,1,500,20,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,1,0,1,300,6,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,0,0,1,400,7,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,1,0,0,300,13,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
1,0,1,1,800,23,0,4,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
0,1,0,1,300,26,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,0,1,0,1600,7,5,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
0,1,0,1,400,25,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,0,1,0,400,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
0,1,1,0,400,19,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
0,1,0,1,400,19,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,1,1,0,800,11,2,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
0,0,1,1,400,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
1,0,0,1,300,9,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,0,0,1,300,23,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
1,0,0,1,200,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0"
1,1,0,1,200,8,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,0,0,1,400,10,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
1,1,0,1,400,26,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
0,1,0,0,500,21,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0"
